time: 1730119362.9312027, predict:"{'model_output': [['cubbyhouse', 0.38058618], ['thirtyfive', 0.16146743], ['swing', 0.09226617], ['35', 0.06714986], ['hello', 0.036227122], ['press', 0.034335945], ['bright', 0.023537578], ['doorbell', 0.022783235], ['wave', 0.021930607], ['measurement', 0.014846925]]}"

time: 1730119458.589761, predict:"{'model_output': [['thirtyfive', 0.21571], ['cubbyhouse', 0.15148956], ['swing', 0.12461147], ['35', 0.11358044], ['antenna', 0.06340144], ['press', 0.040547635], ['wave', 0.028451284], ['possum', 0.023394221], ['m', 0.020184081], ['bright', 0.02003412]]}"

time: 1730119486.0727837, predict:"{'model_output': [['hello', 0.3467632], ['swing', 0.16029619], ['bright', 0.0887848], ['see', 0.051548325], ['doorbell', 0.048169345], ['me', 0.03342], ['cubbyhouse', 0.029712193], ['fine', 0.028023973], ['wait', 0.015359714], ['yes', 0.015100443]]}"

time: 1730119486.8300893, predict:"{'model_output': [['hello', 0.33410144], ['bright', 0.1271859], ['swing', 0.124477044], ['doorbell', 0.039645076], ['see', 0.036978208], ['wait', 0.033977352], ['me', 0.033357546], ['fine', 0.03187237], ['cubbyhouse', 0.02230491], ['look', 0.021405555]]}"

time: 1730119490.9075046, predict:"{'model_output': [['hello', 0.18537953], ['cubbyhouse', 0.15278935], ['swing', 0.08183979], ['doorbell', 0.06058456], ['see', 0.056167636], ['yummy', 0.043426562], ['bright', 0.038772978], ['me', 0.032948777], ['bad', 0.031653035], ['press', 0.017592775]]}"

time: 1730119491.914352, predict:"{'model_output': [['me', 0.10515246], ['see', 0.08215205], ['yummy', 0.08102447], ['cubbyhouse', 0.08044637], ['hello', 0.079821564], ['doorbell', 0.06599182], ['swing', 0.050313327], ['bad', 0.05014056], ['pencil', 0.035298772], ['sad', 0.031730495]]}"

time: 1730119494.4649138, predict:"{'model_output': [['hello', 0.15430164], ['bright', 0.122546606], ['me', 0.114078075], ['see', 0.10563549], ['swing', 0.104979195], ['doorbell', 0.067839354], ['wait', 0.034108687], ['yes', 0.03387533], ['fine', 0.025307555], ['look', 0.023988288]]}"

time: 1730167601.523647, predict:"{'model_output': [['swing', 0.2388509], ['bright', 0.17169037], ['hello', 0.0752848], ['doorbell', 0.07472344], ['me', 0.06789888], ['see', 0.039574318], ['wait', 0.029431125], ['fine', 0.025221312], ['yes', 0.024138693], ['stop', 0.024069738]]}"

time: 1730167602.370453, predict:"{'model_output': [['swing', 0.32574874], ['hello', 0.10209906], ['doorbell', 0.09139551], ['me', 0.08350523], ['bright', 0.06643848], ['see', 0.053365096], ['invite', 0.020579532], ['yes', 0.016410891], ['fine', 0.016302494], ['bad', 0.015210886]]}"

time: 1730167603.14731, predict:"{'model_output': [['swing', 0.26337072], ['hello', 0.13305692], ['doorbell', 0.10150404], ['me', 0.08933053], ['see', 0.07346621], ['bright', 0.05058451], ['invite', 0.021013008], ['yummy', 0.019299656], ['bad', 0.019168472], ['yes', 0.016683467]]}"

time: 1730167603.886365, predict:"{'model_output': [['swing', 0.18772206], ['hello', 0.15812303], ['me', 0.11266154], ['see', 0.10583643], ['doorbell', 0.06827208], ['bright', 0.043165017], ['yes', 0.03408709], ['yummy', 0.031358127], ['invite', 0.027544646], ['bad', 0.022735702]]}"

time: 1730167605.03881, predict:"{'model_output': [['swing', 0.26185513], ['antenna', 0.16759123], ['thirtyfive', 0.10788632], ['wave', 0.07162863], ['hellopossum', 0.057018224], ['m', 0.05444412], ['35', 0.031375937], ['press', 0.026960202], ['bad', 0.018826952], ['possum', 0.009273586]]}"

time: 1730167606.932245, predict:"{'model_output': [['bright', 0.16533485], ['swing', 0.16265558], ['cubbyhouse', 0.13925159], ['hello', 0.08145982], ['measurement', 0.061648645], ['press', 0.033821195], ['see', 0.027726274], ['front', 0.026960202], ['antenna', 0.02113512], ['wave', 0.020889014]]}"

